1e 13 42 ff 19 fd c5 ef e5 ff bf 00 13 ff fa 00 
1e 57 f4 ff 1d fd da ef ee ff c6 00 1a ff fb 00 
1e 95 75 ff 3f fd da ef f1 ff d7 00 28 ff f9 00 
1e e2 1e ff 30 fd d3 ef ec ff f4 00 38 ff f5 00 
1f 2f a0 ff 27 fd cd ef ff ff fc 00 3e ff f4 00 
1f 76 1e ff 1b fd c6 f0 25 ff e8 00 32 ff f9 00 
1f 91 a6 ff 28 fd d3 f0 11 ff ca 00 21 ff fa 00 
1f b6 07 ff 2d fd d0 ef f8 ff b7 00 13 ff fb 00 
1f 9c 3d ff 17 fd dd ef f6 ff b3 00 12 ff fa 00 
1f ae a1 ff 34 fd ca f0 01 ff b1 00 0f ff fd 00 
1f 79 96 ff 25 fd d7 ef eb ff a6 00 08 ff ff 00 
1f 2f 9a ff 11 fd e6 f0 29 ff 98 ff f4 ff e5 00 
1e b7 54 ff 33 fd c5 ef f2 ff 6b ff d2 ff c5 00 
1e 10 42 ff 3b fd c4 ef f5 ff 8f ff ed ff d6 00 
1d 32 6a ff 22 fd de f0 23 ff ba 00 0e ff ef 00 
1c 13 8a ff 30 fd c4 f0 07 ff b9 00 14 ff f9 00 
1b 06 dc ff 22 fd c4 f0 07 ff b1 00 0f ff fe 00 
1a 97 d7 ff 1d fd d3 f0 0b ff a3 00 01 00 00 00 
1b 4b 6e ff 17 fd cf ef eb ff 8f ff f6 00 00 00 
1a c3 9a ff 1f fd d0 ef f7 ff 98 ff fd 00 02 00 
1b a7 e4 ff 20 fd d0 ef ee ff a8 00 06 00 00 00 
1b 49 24 ff 0c fd eb f0 25 ff ab 00 05 ff fd 00 
1c 9a 52 ff 20 fd dc f0 1a ff 8b ff ed ff e2 00 
1c 61 2a fe f8 fd e7 ef fd ff 5b ff c6 ff c3 00 
1d b6 3a fe e2 fe 28 ef c9 ff 4e ff ba ff 8f 00 
1d 70 ae ff 30 fe 54 ef f1 ff 5c ff c3 ff 3f 00 
1e c2 d4 fe f0 fe 35 f0 0f ff 85 ff d2 fe ef 00 
1e 7c b1 fe f5 fe 4b ef f7 ff c0 ff ee fe ac 00 
1f d0 a9 ff 22 fe 3d f0 1c ff a9 ff d7 fe 4e 00 
1f 5b c2 ff 2d fe 30 ef fe ff 4f ff 8c fd df 00 
1f ff 19 ff 09 fe 22 ef 90 fe f9 ff 4a fd 56 00 
1f ff 19 ff 0d fe 39 f0 0c ff 29 ff 54 fd 30 00 
1f ff 19 ff 48 fe 47 ef ce ff 58 ff 6a fd 0b 00 
1f ff 19 ff 35 fe 32 f0 73 ff 5b ff 6d fd 0a 00 
1f ff 19 fe ed fe 06 f0 33 fe ce ff 0d fd 43 00 
1f ff 19 ff 4b fd 3f f0 0f fe 7c fe e3 fd a7 00 
1f ff 19 fe 8a fd dd f0 b8 fe bd ff 30 fd f6 00 
1f ff 19 ff 7f fd 2c f0 3e ff 0a ff 68 fe 5a 00 
1f ff 19 fe ea fe 33 f0 3a ff 1a ff 85 fe d6 00 
1f ff 19 fe cc fd fe f0 14 ff 05 ff 80 ff 24 00 
1f ff 19 ff 0a fe 5e ef cf ff 31 ff 9e ff 3c 00 
1f ff 19 ff 4f fd f8 ef c4 ff 86 ff dc ff 72 00 
1f ff 19 ff 23 fd 3f f0 04 ff fb 00 32 ff a9 00 
1f ff 19 ff 06 fd d8 f0 1b ff cf 00 2a ff eb 00 
1f ff 19 fe e5 fe 14 f0 00 ff 77 ff f8 00 02 00 
1f ff 19 fe f5 fe 20 f0 16 ff 8b ff ff 00 00 00 
1f ff 19 fe f7 fd fe ef e5 ff c0 00 19 ff fe 00 
1f ff 19 fe f0 fd f0 f0 0a ff c2 00 18 ff fb 00 
1f ff 19 fe ea fe 09 ef dd ff ae 00 0e ff fe 00 
1f ff 19 fe fc fe 0e ef ea ff b8 00 19 ff fe 00 
1f ff 19 ff 0c fd f6 f0 06 ff bb 00 19 ff fb 00 
1f ff 19 fe f5 fd fa ef fc ff b8 00 18 ff fe 00 
1f ff 19 fe fb fe 09 ef fc ff b7 00 1a ff fd 00 
1f ff 19 fe f6 fe 0b ef fe ff b9 00 1a ff fd 00 
1f ff 19 fe fd fe 01 ef f7 ff bf 00 1f ff fe 00 
1f ff 19 fe fd fe 02 ef ee ff be 00 22 ff ff 00 
1f ff 19 ff 03 fd fc ef fa ff bb 00 1f ff fc 00 
1f ff 19 fe fd fe 01 ef dd ff b4 00 1a ff fe 00 
1f ff 19 ff 00 fd ff f0 07 ff b5 00 15 ff fb 00 
1f ff 19 fe f6 fd fb f0 11 ff be 00 18 ff f9 00 
1f ff 19 ff 04 fd f6 f0 05 ff ba 00 15 ff fa 00 
1f ff 19 fe ef fd f0 ef fb ff b9 00 15 ff fc 00 
1f ff 19 fe f0 fe 12 ef f2 ff b8 00 14 ff fb 00 
1f ff 19 fe fc fd f7 ef eb ff b4 00 10 ff fe 00 
1f ff 19 fe f2 fe 0b ef f6 ff b4 00 13 ff fd 00 
